date,user_id,event_name,mobile_os_type,version
12/31/2019,60b75e08ad8d0e9099d0561463fe83f3,push_received,U683CL,11.3.1
12/30/2019,494a5bcac4b8cc9a9e05ba2448897855,push_received,U683CL,11.3.1
12/31/2019,44b21678f447bcdb630e380fe69fbb66,push_received,U683CL,11.3.1
12/30/2019,823a9efb5de1710eba71ee1491118ed7,push_received,L51,11.3.1
12/31/2019,3f056f15a7a144d86dac8e2b910f4965,push_received,L51,11.3.1
12/30/2019,f2dc1531c357534082a0f9d03d5ce9ff,push_received,U683CL,11.3.1
12/30/2019,ef69c3e987e1ed07c605a72cdc28cdfa,push_received,L51,11.3.1
12/31/2019,4c2424b2514511251ffe492a30c178a6,push_received,U683CL,11.3.1
12/31/2019,5fad8746d3ac46c4a0e245a84ca8b380,push_received,U683CL,11.3.1
12/31/2019,762b68658ba2ca8310d4c4849e30f244,push_received,U683CL,11.3.1
12/30/2019,5272b2b5de5ffebeb33800b47b21260b,push_received,U683CL,11.3.1
12/30/2019,266a2f93e58d2aa04397d91366d1361e,push_received,U683CL,11.3.1
12/31/2019,00d313c0dbfcd51302b4d3999f7e227b,push_received,L51,11.3.1
12/30/2019,38e7834bd6880d0c9505bb3043f1dbf5,push_received,U683CL,11.3.1
12/30/2019,ec80ce04510589e67dad8a9002fe6943,push_received,U683CL,11.3.1
12/31/2019,e8e82f925968c469a38f8f664e7e9999,push_received,L51,11.3.0
12/30/2019,f2d5463e9f05da60b88eda8e3bb7967f,push_received,U683CL,11.3.1
12/30/2019,4feac3882d9dd744465e80c0e92adce2,push_received,U683CL,11.3.1
12/31/2019,833ba1da799a95118931c37b9741f850,push_received,U683CL,11.3.1
12/31/2019,f22df8c6d2e95fe76ec48ada16deccd0,push_received,U683CL,11.3.1
12/30/2019,3d07cff8110a730949f4a269011d68ac,push_received,U683CL,11.3.1
12/30/2019,c16c2bfc074e18d734d27ca2c8bbaae2,user_engagement,L51,11.3.1
12/30/2019,20a05a35900c56ee012302cfb23cb11f,user_engagement,U683CL,11.3.1
12/30/2019,7c1aa4d63a06eb5bd2d7bfe118a66b50,model_view,L51,11.3.1
12/30/2019,86808079ad6809576f031af035afcf2e,push_received,L51,11.3.1
12/31/2019,228a9b41b52daf96839439a06f51f90f,push_received,U683CL,11.3.1
12/31/2019,1b64c3492c8a05ca4727441bc05fc338,push_received,U683CL,11.3.1
12/30/2019,f804056b71a19670f338ffd927ab05bc,push_received,U683CL,11.3.1
12/31/2019,c533f158c8521e613acea3a3ca829838,push_received,U683CL,11.3.1
12/30/2019,7cc6acaf001e32a06e62b98f940d10e4,push_received,L51,11.3.0
12/31/2019,e3baccdc8a5cedc6b5c669eb6264c5d9,user_engagement,U683CL,11.3.1
12/31/2019,1efe359603c793b02a7dc9d6849f8160,push_received,U683CL,11.3.1
12/30/2019,fc88ed18d166bc34b3e08fc76f82e59f,push_received,U683CL,11.3.1
12/31/2019,e26de983c0672594f839d9821ab4bdd4,user_engagement,U683CL,11.3.1
12/31/2019,82215a0db1fa193726ef4622382f2c02,push_received,U683CL,11.3.1
12/31/2019,f932400f4616164ed7198b971b6074f1,push_received,U683CL,11.3.1
12/31/2019,c402db52c5ef20346a228a2648b5e190,push_received,U683CL,11.3.1
12/30/2019,5d423d3121d32636906ce6515df9d33e,user_engagement,U683CL,11.3.1
12/31/2019,699b902759bb79dfe9c1a915ef015d69,top_news_swipe,U683CL,11.3.1
12/30/2019,782263744e91b36065ba70ff90f2e1d8,push_received,L51,11.3.0
12/30/2019,7399b0f57d618f289b81bb0cd2d4a294,push_received,U683CL,11.3.1
12/31/2019,39467da79f28e9285625ac4d084708d1,push_received,U683CL,11.3.1
