SNo,ObservationDate,Province,Country,LastUpdate,Confirmed,Deaths,Recovered
304,2019-06-11,Inner Mongolia,Mainland China,6/11/2019 23:59,15,0,0
305,2019-06-12,Ningxia,Mainland China,6/12/2019 23:59,11,0,0
306,2019-06-13,Xinjiang,Mainland China,6/13/2019 23:59,10,0,0
307,2019-06-14,Guizhou,Mainland China,6/14/2019 23:59,9,0,0
308,2019-06-15,Jilin,Mainland China,6/15/2019 23:59,8,0,0
309,2019-07-01,Taiwan,Taiwan,7/1/2019 23:59,8,0,0
310,2019-07-02,Hong Kong,Hong Kong,7/2/2019 23:59,8,0,0
311,2019-07-03,Macau,Macau,7/3/2019 23:59,7,0,0
312,2019-07-04,Qinghai,Mainland China,7/4/2019 23:59,6,0,0
313,2019-07-05,Washington,US,7/5/2019 23:59,1,0,0
314,2019-07-06,Illinois,US,7/6/2019 23:59,1,0,0
315,2019-07-07,California,US,7/7/2019 23:59,2,0,0
316,2019-07-08,Arizona,US,7/8/2019 23:59,1,0,0
317,2019-07-09,,Japan,7/9/2019 23:59,7,0,1
318,2019-07-10,,Thailand,7/10/2019 23:59,14,0,6
319,2019-07-11,,South Korea,7/11/2019 23:59,4,0,0
320,2019-07-12,,Singapore,7/12/2019 23:59,7,0,0
321,2019-07-13,,Vietnam,7/13/2019 23:59,2,0,0
322,2019-08-01,,France,8/1/2019 23:59,4,0,0
323,2019-08-02,,Nepal,8/2/2019 23:59,1,0,0
324,2019-08-03,,Malaysia,8/3/2019 23:59,4,0,0
325,2019-08-04,Ontario,Canada,8/4/2019 23:59,1,0,0
326,2019-08-05,British Columbia,Canada,8/5/2019 23:59,1,0,0
327,2019-08-06,,Cambodia,8/6/2019 23:59,1,0,0
328,2019-08-07,,Sri Lanka,8/7/2019 23:59,1,0,0
329,2019-08-08,New South Wales,Australia,8/8/2019 23:59,4,0,0
330,2019-08-09,Victoria,Australia,8/9/2019 23:59,1,0,0
331,2019-08-10,Bavaria,Germany,8/10/2019 23:59,4,0,0
332,2019-08-11,Unknown,China,8/11/2019 23:59,0,0,0
333,2019-08-12,,Kiribati,8/12/2019 23:59,0,0,0
334,2019-09-01,Hubei,Mainland China,9/1/2019 23:59,3554,125,88
335,2019-09-02,Zhejiang,Mainland China,9/2/2019 23:59,296,0,3
336,2019-09-03,Guangdong,Mainland China,9/3/2019 23:59,277,0,5
337,2019-09-04,Hunan,Mainland China,9/4/2019 23:59,221,0,0
338,2019-09-05,Henan,Mainland China,9/5/2019 23:59,206,2,1
339,2019-09-06,Anhui,Mainland China,9/6/2019 23:59,152,0,2
340,2019-09-07,Chongqing,Mainland China,9/7/2019 23:59,147,0,1
341,2019-09-08,Shandong,Mainland China,9/8/2019 23:59,130,0,1
342,2019-09-09,Beijing,Mainland China,9/9/2019 23:59,111,1,4
343,2019-09-10,Jiangxi,Mainland China,9/10/2019 23:59,109,0,3
344,2019-09-11,Sichuan,Mainland China,9/11/2019 23:59,108,1,1
345,2019-10-01,Jiangsu,Mainland China,10/1/2019 23:59,99,0,1
346,2019-10-02,Shanghai,Mainland China,10/2/2019 23:59,96,1,5
347,2019-10-03,Fujian,Mainland China,10/3/2019 23:59,84,0,0
348,2019-10-04,Guangxi,Mainland China,10/4/2019 23:59,58,0,2
349,2019-10-05,Shaanxi,Mainland China,10/5/2019 23:59,56,0,0
350,2019-10-06,Yunnan,Mainland China,10/6/2019 23:59,55,0,0
351,2019-10-07,Hebei,Mainland China,10/7/2019 23:59,48,1,0
352,2019-10-08,Hainan,Mainland China,10/8/2019 23:59,43,1,0
353,2019-10-09,Liaoning,Mainland China,10/9/2019 23:59,39,0,1
354,2019-10-10,Heilongjiang,Mainland China,10/10/2019 23:59,38,1,0
355,2019-10-11,Tianjin,Mainland China,10/11/2019 23:59,27,0,0
356,2019-10-12,Shanxi,Mainland China,10/12/2019 23:59,27,0,1
357,2019-10-13,Gansu,Mainland China,10/13/2019 23:59,24,0,0
358,2019-10-14,Inner Mongolia,Mainland China,10/14/2019 23:59,16,0,0
359,2019-10-15,Xinjiang,Mainland China,10/15/2019 23:59,13,0,0
360,2019-10-16,Ningxia,Mainland China,10/16/2019 23:59,12,0,0
361,2019-11-01,Hong Kong,Hong Kong,11/1/2019 23:59,10,0,0
362,2019-11-02,Guizhou,Mainland China,11/2/2019 23:59,9,0,1
363,2019-11-03,Jilin,Mainland China,11/3/2019 23:59,9,0,0
